rank,allocation_id,method,trigger,ema_span,review,crash_threshold,trailing_stop,derisk,cooldown,test_cagr,test_max_drawdown,test_cagr_delta,test_dd_delta,selection_score
1,2,Calendar:Yearly,crash,100,Monthly,0.125,0.0,1.0,20,0.2147712460869442,-0.09719727746884854,0.008755157564394267,0.0987908983097271,-0.01261791837575615
2,2,AbsoluteBand:Yearly:0.2,crash,100,Monthly,0.125,0.0,1.0,20,0.2158480598882182,-0.09747646507715169,0.00858259043294618,0.09817105994398667,-0.012010293309054062
3,2,Calendar:Yearly,crash,100,Monthly,0.125,0.0,1.0,60,0.20895705864724734,-0.09719727746884832,0.0029409701246974063,0.09879089830972732,-0.03927535805332032
4,2,AbsoluteBand:Yearly:0.2,crash,100,Monthly,0.125,0.0,1.0,60,0.2098405188329795,-0.09747646507715191,0.0025750493777074723,0.09817105994398645,-0.0382177469774881
5,2,AbsoluteBand:Yearly:0.2,combined,200,Monthly,0.125,0.15,0.5,20,0.2188209129871923,-0.12383914287531816,0.011555443531920284,0.0718083821458202,-0.0006597040593510229
6,2,AbsoluteBand:Yearly:0.2,combined,200,Monthly,0.125,0.0,0.5,0,0.216051752273126,-0.12488553912383471,0.008786282817853985,0.07076198589730365,0.004380281955939334
7,2,AbsoluteBand:Yearly:0.2,ema,200,Monthly,0.0,0.15,1.0,20,0.21535296342815835,-0.12794605899970568,0.008087493972886328,0.06770146602143268,-0.046717595005761337
8,2,Calendar:Yearly,combined,200,Monthly,0.125,0.15,0.5,20,0.21046148146891386,-0.12396700057198895,0.004445392946363924,0.07202117520658669,-0.0013998195306788898
9,2,Calendar:Yearly,combined,200,Daily,0.075,0.0,0.5,0,0.20836619500825515,-0.12203199694724354,0.0023501064857052167,0.0739561788313321,0.023904186961274863
10,2,Calendar:Yearly,combined,200,Monthly,0.125,0.0,0.5,0,0.20767516158903043,-0.1251051715421091,0.0016590730664804987,0.07088300423646654,0.003511516222344765
11,1,Calendar:Yearly,crash,100,Daily,0.125,0.15,1.0,0,0.20113526091124512,-0.1416561242415979,0.006308758682390669,0.05430290011635863,-0.007227378934443092
