Date,FilingDate,FilingID,Company,Shares,Value,Form,Source,ParserMethod,DateQuality
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Microsoft Corporation,3347177,303128717,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Intel Corporation,2231651,165839565,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Cisco Systems, Inc",2228508,152792080,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"MCI WorldCom, Inc",1283954,92284194,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Dell Computer Corporation,1781207,74476718,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,QUALCOMM Incorporated,368970,69804512,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Sun Microsystems, Inc",641303,59641179,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Nextel Communications, Inc",770019,52216913,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Oracle Corporation,1126276,51245558,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Yahoo! Inc,237245,42585477,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,Amgen Inc,452923,36913225,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Amazon.com, Inc",427567,34178637,485BPOS,SEC,repeated-schedule-pages,reported-as-of
1999-09-30,2000-06-30,2000-06-30_0000912057-00-030669_a485bpos.txt,"Applied Materials, Inc",369979,28742744,485BPOS,SEC,repeated-schedule-pages,reported-as-of
