ReferenceDate,Ticker,TotalShares,FloatShares,FloatFactor,Source,RetrievedAtUTC,Error
2026-05-15,AAPL,14594180000.0,14569223952.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.604992+00:00,
2026-05-15,ABNB,417930233.0,405518174.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.626293+00:00,
2026-05-15,ADBE,397500000.0,396228000.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.606179+00:00,
2026-05-15,ADI,,485265334.0,1.0,reused_missing_fallback_1.0,2026-08-07T06:09:29.605868+00:00,
2026-05-15,ADP,397262737.0,396896994.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.615064+00:00,
2026-05-15,ADSK,211145251.0,210419750.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.643068+00:00,
2026-05-15,AEP,544397352.0,543569868.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.605285+00:00,
2026-05-15,ALNY,133809118.0,133237753.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.153224+00:00,
2026-05-15,AMAT,793959430.0,790855049.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.607908+00:00,
2026-05-15,AMD,1632475042.0,1623448320.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.732975+00:00,
2026-05-15,AMGN,541000000.0,539512250.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.731460+00:00,
2026-05-15,AMZN,10786313572.0,9808965699.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.731040+00:00,
2026-05-15,APP,305732000.0,255707450.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.165532+00:00,
2026-05-15,ARM,1067998569.0,142599360.0,0.4005605367061123,reused_current_snapshot_proxy,2026-08-07T06:09:29.742302+00:00,
2026-05-15,ASML,384100000.0,21331633667.0,1.0,reused_current_snapshot_proxy,2026-08-07T06:09:29.727740+00:00,
