Date,Form,Source,Positions,MappedPositions,OfficialCount,OfficialCoverage,MissingOfficialCount,MissingOfficial,ValueTotal,WeightSum,Confidence
1999-09-30,485BPOS,SEC-485BPOS,99,99,0,0.0,0,,2131986878.0,1.0,C-partial-history
2000-09-30,485BPOS,SEC-485BPOS,99,99,0,0.0,0,,12348852383.0,0.9999999999999999,C-partial-history
2001-03-31,N-30D,SEC-RYDEX-NDX,90,90,0,0.0,0,,1067683391.0,1.0,A-observed-index-fund
2001-09-30,485BPOS,SEC-485BPOS,95,94,0,0.0,0,,17632222589.0,1.0,C-partial-history
2001-11-30,N-30D,SEC-MORGAN-NDX,93,93,0,0.0,0,,32941871.0,1.0,A-observed-index-fund
2002-03-31,N-30D,SEC-RYDEX-NDX,100,100,0,0.0,0,,805476154.0,1.0000000000000002,A-observed-index-fund
2002-05-31,N-30D,SEC-MORGAN-NDX,90,90,0,0.0,0,,33893897.0,0.9999999999999999,A-observed-index-fund
2002-09-30,485BPOS,SEC-485BPOS,100,100,0,0.0,0,,15107607975.0,1.0,C-partial-history
2002-11-30,N-30D,SEC-MORGAN-NDX,94,94,0,0.0,0,,40497385.0,1.0000000000000002,A-observed-index-fund
2003-03-31,N-30D,SEC-RYDEX-NDX,86,86,100,0.86,14,BMET|BRCD|EBAY|ERICY|ESRX|EXPD|FAST|PAYX|PTEN|RYAAY|SBUX|SNPS|WFMI|YHOO,578938609.0,0.9999999999999998,C-partial-history
2003-05-31,N-CSR,SEC-MORGAN-NDX,93,93,100,0.93,7,CHKP|DISH|ERICY|EXPD|NXTL|RYAAY|TEVA,30815757.0,1.0,A-observed-index-fund
2003-09-30,485BPOS,SEC-485BPOS,97,97,100,0.97,3,MEDI|MSFT|WFMI,17802952565.0,1.0,B-observed-annual
2003-11-30,N-CSR,SEC-MORGAN-NDX,97,97,100,0.97,3,DISH|ERICY|RYAAY,47595761.0,1.0,A-observed-index-fund
2004-03-31,N-CSR,SEC-RYDEX-NDX,91,91,100,0.91,9,CEPH|EXPD|HSIC|INTU|ISIL|PIXR|RYAAY|SSCC|VRTSE,874708192.0,1.0,A-observed-index-fund
2004-05-31,N-CSRS,SEC-MORGAN-NDX,83,83,100,0.83,17,APCC|CHKP|DISH|ESRX|EXPD|FLEX|GRMN|ISIL|MLNM|MRVL|MXIM|NXTL|RIMM|RYAAY|SSCC|TEVA|VRTSE,45902084.0,1.0,C-partial-history
2004-08-31,N-Q,SEC-MORGAN-NDX,92,92,100,0.92,8,ATYT|DISH|GRMN|ISIL|LAMR|MRVL|RIMM|RYAAY,47713759.0,1.0,A-observed-index-fund
2004-09-30,485BPOS,SEC-485BPOS,97,97,100,0.97,3,ATYT|MSFT|SPLS,18300528828.0,1.0,B-observed-annual
2004-11-30,N-CSR,SEC-MORGAN-NDX,86,86,100,0.86,14,APCC|CHKP|DISH|EXPD|FLEX|GRMN|ISIL|LAMR|MLNM|MRVL|NXTL|RIMM|RYAAY|TEVA,48402616.0,1.0,C-partial-history
2004-12-31,N-Q,SEC-RYDEX-NDX,87,87,100,0.87,13,ADSK|CDWC|ERICY|EXPD|FISV|ISIL|LBTYA|MCIP|MOLXE|NTLI|SIRI|WYNN|XMSR,1069139998.0,1.0,C-partial-history
2005-02-28,N-Q,SEC-MORGAN-NDX,90,90,100,0.9,10,ATYT|DISH|ERICY|GRMN|ISIL|LAMR|LBTYA|MRVL|RIMM|XMSR,47175997.0,1.0,A-observed-index-fund
2005-03-31,N-CSR,SEC-RYDEX-NDX,92,92,100,0.92,8,CDWC|ERICY|EXPD|ISIL|LBTYA|LNCR|SNDK|TLAB,821781662.0,1.0,A-observed-index-fund
2005-05-31,N-CSRS,SEC-MORGAN-NDX,83,83,100,0.83,17,APCC|CHKP|CTSH|DISH|ERICY|EXPD|FLEX|GRMN|ISIL|LAMR|LBTYA|MLNM|MRVL|NXTL|RIMM|TEVA|XMSR,43930057.0,1.0,C-partial-history
2005-06-30,N-Q,SEC-RYDEX-NDX,90,90,100,0.9,10,ERICY|EXPD|ISIL|MCHP|MEDI|MLNM|SEBL|SNPS|TLAB|XLNX,878409765.0,1.0,A-observed-index-fund
2005-08-31,N-Q,SEC-MORGAN-NDX,90,90,100,0.9,10,ATYT|DISH|ERICY|GRMN|IACID|ISIL|LAMR|MRVL|RIMM|XMSR,46205892.0,1.0,A-observed-index-fund
2005-09-30,485BPOS,SEC-485BPOS,96,96,100,0.96,4,CHRW|FAST|FISV|MSFT,17846263499.0,1.0,B-observed-annual
2005-11-30,N-CSR,SEC-MORGAN-NDX,91,91,100,0.91,9,ATYT|DISH|ERICY|GRMN|ISIL|LAMR|MRVL|RIMM|XMSR,44459435.0,1.0,A-observed-index-fund
2005-12-31,N-Q,SEC-RYDEX-NDX,78,78,100,0.78,22,AMAT|ATVI|ATYT|CDNS|CKFR|CMVT|DISCA|ERICY|EXPD|GOOG|KLAC|MNST|NIHD|NTAP|NVDA|PTEN|RHAT|SEBL|SUNW|TLAB|URBN|XMSR,937450726.0,1.0,C-partial-history
2006-02-28,N-Q,SEC-MORGAN-NDX,90,90,100,0.9,10,ATYT|DISCA|DISH|ERICY|GRMN|LAMR|MRVL|NIHD|RIMM|XMSR,44524986.0,1.0,A-observed-index-fund
2006-03-31,N-CSR,SEC-RYDEX-NDX,86,86,100,0.86,14,ATVI|ATYT|CDNS|DISCA|ERICY|EXPD|FLEX|KLAC|LAMR|NIHD|NTAP|SUNW|VRSN|XMSR,901722323.0,0.9999999999999999,C-partial-history
2006-05-31,N-CSRS,SEC-MORGAN-NDX,96,96,100,0.96,4,ERICY|EXPD|LAMR|MICC,38567795.0,1.0,A-observed-index-fund
2006-06-30,N-Q,SEC-RYDEX-NDX,92,92,100,0.92,8,ATVI|ATYT|CTSH|DISCA|ERICY|FLEX|LLTC|XMSR,659599271.0,0.9999999999999999,A-observed-index-fund
2006-08-31,N-Q,SEC-MORGAN-NDX,90,90,100,0.9,10,ATYT|DISCA|DISH|ERIC|GRMN|LAMR|MICC|MRVL|RIMM|XMSR,36311234.0,1.0,A-observed-index-fund
2006-09-30,485BPOS,SEC-485BPOS,98,98,100,0.98,2,LAMR|NVDA,17769481076.0,1.0,B-observed-annual
2006-11-30,N-CSR,SEC-MORGAN-NDX,90,90,100,0.9,10,DISCA|DISH|ERIC|GRMN|LAMR|LINTA|MICC|MRVL|RIMM|XMSR,39564686.0,1.0,A-observed-index-fund
2006-12-31,N-Q,SEC-RYDEX-NDX,85,85,100,0.85,15,AEOS|ATVI|CDNS|DISCA|ERIC|EXPD|FLEX|INFY|KLAC|LAMR|LVLT|MEDI|MICC|NIHD|VRTX,669670778.0,0.9999999999999999,C-partial-history
2007-02-28,N-Q,SEC-MORGAN-NDX,88,88,100,0.88,12,AEOS|DISCA|DISH|ERIC|GRMN|INFY|LAMR|MICC|MRVL|RIMM|RYAAY|XMSR,37430501.0,1.0,C-partial-history
2007-05-31,N-CSRS,SEC-MORGAN-NDX,99,99,100,0.99,1,ERIC,39169509.0,1.0,A-observed-index-fund
2007-06-30,N-Q,SEC-RYDEX-NDX,94,94,100,0.94,6,ERIC|LLTC|MCHP|PAYX|PETM|XMSR,661703755.0,1.0,A-observed-index-fund
2007-08-31,N-Q,SEC-MORGAN-NDX,99,99,100,0.99,1,ERIC,38913012.0,1.0,A-observed-index-fund
