Date,Source,Form,Positions,Status,AccessionNumber,FilingID,URL,CachePath
2001-11-30,SEC-MORGAN-NDX,N-30D,126,selected,0000912057-02-002514,a2068616zn-30d.txt,https://www.sec.gov/Archives/edgar/data/1137676/000091205702002514/a2068616zn-30d.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2001-11-30_000091205702002514_a2068616zn-30d.txt
2002-05-31,SEC-MORGAN-NDX,N-30D,120,selected,0000912057-02-028209,a2084553zn-30d.txt,https://www.sec.gov/Archives/edgar/data/1137676/000091205702028209/a2084553zn-30d.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2002-05-31_000091205702028209_a2084553zn-30d.txt
2002-11-30,SEC-MORGAN-NDX,N-30D,155,selected,0001047469-03-001980,a2101143zn-30d.txt,https://www.sec.gov/Archives/edgar/data/1137676/000104746903001980/a2101143zn-30d.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2002-11-30_000104746903001980_a2101143zn-30d.txt
2003-05-31,SEC-MORGAN-NDX,N-CSR,144,selected,0001047469-03-025714,a2114978zn-csr.txt,https://www.sec.gov/Archives/edgar/data/1137676/000104746903025714/a2114978zn-csr.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2003-05-31_000104746903025714_a2114978zn-csr.txt
2003-11-30,SEC-MORGAN-NDX,N-CSR,175,selected,0001047469-04-003328,a2127129zn-csr.txt,https://www.sec.gov/Archives/edgar/data/1137676/000104746904003328/a2127129zn-csr.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2003-11-30_000104746904003328_a2127129zn-csr.txt
2004-05-31,SEC-MORGAN-NDX,N-CSRS,141,selected,0001047469-04-024793,a2140596zn-csrs.txt,https://www.sec.gov/Archives/edgar/data/1137676/000104746904024793/a2140596zn-csrs.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2004-05-31_000104746904024793_a2140596zn-csrs.txt
2004-08-31,SEC-MORGAN-NDX,N-Q,102,selected,0001104659-04-032646,a04-11899_5nq.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465904032646/a04-11899_5nq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2004-08-31_000110465904032646_a04-11899_5nq.htm
2004-11-30,SEC-MORGAN-NDX,N-CSR,171,selected,0001047469-05-002384,a2150346zn-csr.txt,https://www.sec.gov/Archives/edgar/data/1137676/000104746905002384/a2150346zn-csr.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2004-11-30_000104746905002384_a2150346zn-csr.txt
2005-02-28,SEC-MORGAN-NDX,N-Q,102,selected,0001104659-05-018402,a05-6326_5nq.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465905018402/a05-6326_5nq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2005-02-28_000110465905018402_a05-6326_5nq.htm
2005-05-31,SEC-MORGAN-NDX,N-CSRS,138,selected,0001047469-05-020454,a2160815zn-csrs.txt,https://www.sec.gov/Archives/edgar/data/1137676/000104746905020454/a2160815zn-csrs.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2005-05-31_000104746905020454_a2160815zn-csrs.txt
2005-08-31,SEC-MORGAN-NDX,N-Q,100,selected,0001104659-05-050534,a05-17151_5nq.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465905050534/a05-17151_5nq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2005-08-31_000110465905050534_a05-17151_5nq.htm
2005-11-30,SEC-MORGAN-NDX,N-CSR,187,selected,0001047469-06-001563,a2166375zn-csr.txt,https://www.sec.gov/Archives/edgar/data/1137676/000104746906001563/a2166375zn-csr.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2005-11-30_000104746906001563_a2166375zn-csr.txt
2006-02-28,SEC-MORGAN-NDX,N-Q,104,selected,0001104659-06-027395,a06-8550_2nq.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465906027395/a06-8550_2nq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2006-02-28_000110465906027395_a06-8550_2nq.htm
2006-05-31,SEC-MORGAN-NDX,N-CSRS,149,selected,0001047469-06-010612,a2171793zn-csrs.txt,https://www.sec.gov/Archives/edgar/data/1137676/000104746906010612/a2171793zn-csrs.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2006-05-31_000104746906010612_a2171793zn-csrs.txt
2006-08-31,SEC-MORGAN-NDX,N-Q,103,selected,0001104659-06-068781,a06-21154_1nq.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465906068781/a06-21154_1nq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2006-08-31_000110465906068781_a06-21154_1nq.htm
2006-11-30,SEC-MORGAN-NDX,N-CSR,103,selected,0001104659-07-008447,a06-26030_1ncsr.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465907008447/a06-26030_1ncsr.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2006-11-30_000110465907008447_a06-26030_1ncsr.htm
2007-02-28,SEC-MORGAN-NDX,N-Q,101,selected,0001104659-07-031211,a07-9893_4nq.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465907031211/a07-9893_4nq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2007-02-28_000110465907031211_a07-9893_4nq.htm
2007-05-31,SEC-MORGAN-NDX,N-CSRS,104,selected,0001104659-07-060863,a07-17220_1ncsrs.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465907060863/a07-17220_1ncsrs.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2007-05-31_000110465907060863_a07-17220_1ncsrs.htm
2007-08-31,SEC-MORGAN-NDX,N-Q,102,selected,0001104659-07-077227,a07-26369_1nq.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465907077227/a07-26369_1nq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2007-08-31_000110465907077227_a07-26369_1nq.htm
2007-11-30,SEC-MORGAN-NDX,N-CSR,101,selected,0001104659-08-008536,a07-32259_1ncsr.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465908008536/a07-32259_1ncsr.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2007-11-30_000110465908008536_a07-32259_1ncsr.htm
2008-02-29,SEC-MORGAN-NDX,N-Q,102,selected,0001104659-08-027667,a08-9825_4nq.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465908027667/a08-9825_4nq.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2008-02-29_000110465908027667_a08-9825_4nq.htm
2008-05-31,SEC-MORGAN-NDX,N-CSRS,102,selected,0001104659-08-051837,a08-17896_1ncsrs.htm,https://www.sec.gov/Archives/edgar/data/1137676/000110465908051837/a08-17896_1ncsrs.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/morgan-ndx/2008-05-31_000110465908051837_a08-17896_1ncsrs.htm
2000-09-30,SEC-RYDEX-NDX,N-30D,96,selected,0000912057-00-051516,a2028078zn-30d.txt,https://www.sec.gov/Archives/edgar/data/899148/000091205700051516/a2028078zn-30d.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2000-09-30_000091205700051516_a2028078zn-30d.txt
2001-03-31,SEC-RYDEX-NDX,N-30D,93,selected,0000912057-01-517867,a2046433zn-30d.txt,https://www.sec.gov/Archives/edgar/data/899148/000091205701517867/a2046433zn-30d.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2001-03-31_000091205701517867_a2046433zn-30d.txt
2001-09-30,SEC-RYDEX-NDX,N-30D,101,selected,0000912057-01-541410,a2064459zn-30d.txt,https://www.sec.gov/Archives/edgar/data/899148/000091205701541410/a2064459zn-30d.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2001-09-30_000091205701541410_a2064459zn-30d.txt
2002-03-31,SEC-RYDEX-NDX,N-30D,101,selected,0000935069-02-000555,benchmrk.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506902000555/benchmrk.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2002-03-31_000093506902000555_benchmrk.txt
2002-09-30,SEC-RYDEX-NDX,N-30D,99,selected,0000935069-02-001290,benchmar.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506902001290/benchmar.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2002-09-30_000093506902001290_benchmar.txt
2003-03-31,SEC-RYDEX-NDX,N-30D,101,selected,0000935069-03-000753,benchmar.htm,https://www.sec.gov/Archives/edgar/data/899148/000093506903000753/benchmar.htm,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2003-03-31_000093506903000753_benchmar.htm
2003-09-30,SEC-RYDEX-NDX,N-CSRS,98,selected,0000935069-03-001570,ncsrs.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506903001570/ncsrs.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2003-09-30_000093506903001570_ncsrs.txt
2004-03-31,SEC-RYDEX-NDX,N-CSR,99,selected,0000935069-04-000855,seriesncsr.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506904000855/seriesncsr.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2004-03-31_000093506904000855_seriesncsr.txt
2004-09-30,SEC-RYDEX-NDX,N-CSRS,102,selected,0000935069-04-002032,ncsrs904.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506904002032/ncsrs904.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2004-09-30_000093506904002032_ncsrs904.txt
2004-12-31,SEC-RYDEX-NDX,N-Q,94,selected,0000935069-05-000289,series.txt,https://www.sec.gov/Archives/edgar/data/899148/000093506905000289/series.txt,/Users/mcruz/Developer/Testfol-MarginStresser/data/ndx_simulation/data/cache/ndx_index_funds/rydex-ndx/2004-12-31_000093506905000289_series.txt
