Date,FilingDate,FilingID,AccessionNumber,Form,Source,Ticker,Company,Title,CUSIP,LEI,Shares,Value,PctValue
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Cisco Systems, Inc","Cisco Systems, Inc",,,3541900.0,195689975.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Microsoft Corp,Microsoft Corp,,,2529700.0,152572531.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Intel Corp,Intel Corp,,,3283500.0,136470469.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Oracle Corp,Oracle Corp,,,1639300.0,129094875.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,JDS Uniphase Corp,JDS Uniphase Corp,,,1239700.0,117384094.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Sun Microsystems, Inc","Sun Microsystems, Inc",,,964600.0,112617050.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"QUALCOMM, Inc","QUALCOMM, Inc",,,1254900.0,89411625.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Veritas Software Corp,Veritas Software Corp,,,573900.0,81493800.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Siebel Systems, Inc","Siebel Systems, Inc",,,681200.0,75826075.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Juniper Networks, Inc","Juniper Networks, Inc",,,289500.0,63382406.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Nextel Communications, Inc., Class A","Nextel Communications, Inc., Class A",,,1303700.0,60947975.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,"Network Appliance, Inc","Network Appliance, Inc",,,461800.0,58821775.0,0.0
2000-09-30,2000-11-29,a2028078zn-30d.txt,0000912057-00-051516,N-30D,SEC-RYDEX-NDX,,Ciena Corp,Ciena Corp,,,470900.0,57832406.0,0.0
