StartDate,EndDate,Count,Tickers,Names
2003-01-02,2003-04-30,100,AAPL|ADBE|ADCT|ALTR|AMAT|AMGN|AMZN|APCC|APOL|BBBY|BEAS|BGEN|BMET|BRCD|BRCM|CDWC|CEPH|CHIR|CHKP|CHRW|CIEN|CMCSA|CMVT|COST|CPWR|CSCO|CTAS|CTXS|DELL|DISH|DLTR|EBAY|ERICY|ERTS|ESRX|EXPD|FAST|FHCC|FISV|FLEX|GENZ|GILD|GNTX|HGSI|HSIC|ICOS|IDPH|INTC|INTU|IVGN|JDSU|JNPR|KLAC|LAMR|LLTC|LNCR|MCHP|MEDI|MERQ|MLNM|MOLX|MSFT|MXIM|NTAP|NVDA|NVLS|NXTL|ORCL|PAYX|PCAR|PDCO|PETM|PIXR|PSFT|PTEN|QCOM|QLGC|RFMD|ROST|RYAAY|SANM|SBUX|SEBL|SIAL|SNPS|SPLS|SPOT|SSCC|SUNW|SYMC|TEVA|TLAB|TMPW|USAI|VRSN|VRTS|WFMI|XLNX|XRAY|YHOO,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2003-05-01,2003-06-20,100,AAPL|ADBE|ADCT|ALTR|AMAT|AMGN|AMZN|APCC|APOL|BBBY|BEAS|BGEN|BMET|BRCD|BRCM|CDWC|CEPH|CHIR|CHKP|CHRW|CIEN|CMCSA|CMVT|COST|CPWR|CSCO|CTAS|CTXS|DELL|DISH|DLTR|EBAY|ERICY|ERTS|ESRX|EXPD|FAST|FHCC|FISV|FLEX|GENZ|GILD|GNTX|HGSI|HSIC|ICOS|IDPH|INTC|INTU|IVGN|JDSU|JNPR|KLAC|LAMR|LLTC|LNCR|MCHP|MEDI|MERQ|MLNM|MNST|MOLX|MSFT|MXIM|NTAP|NVDA|NVLS|NXTL|ORCL|PAYX|PCAR|PDCO|PETM|PIXR|PSFT|PTEN|QCOM|QLGC|RFMD|ROST|RYAAY|SANM|SBUX|SEBL|SIAL|SNPS|SPLS|SPOT|SSCC|SUNW|SYMC|TEVA|TLAB|USAI|VRSN|VRTS|WFMI|XLNX|XRAY|YHOO,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2003-06-23,2003-11-12,100,AAPL|ADBE|ADCT|ALTR|AMAT|AMGN|AMZN|APCC|APOL|BBBY|BEAS|BGEN|BMET|BRCD|BRCM|CDWC|CEPH|CHIR|CHKP|CHRW|CIEN|CMCSA|CMVT|COST|CPWR|CSCO|CTAS|CTXS|DELL|DISH|DLTR|EBAY|ERICY|ERTS|ESRX|EXPD|FAST|FHCC|FISV|FLEX|GENZ|GILD|GNTX|HGSI|HSIC|IACI|ICOS|IDPH|INTC|INTU|IVGN|JDSU|JNPR|KLAC|LAMR|LLTC|LNCR|MCHP|MEDI|MERQ|MLNM|MNST|MOLX|MSFT|MXIM|NTAP|NVDA|NVLS|NXTL|ORCL|PAYX|PCAR|PDCO|PETM|PIXR|PSFT|PTEN|QCOM|QLGC|RFMD|ROST|RYAAY|SANM|SBUX|SEBL|SIAL|SNPS|SPLS|SPOT|SSCC|SUNW|SYMC|TEVA|TLAB|VRSN|VRTS|WFMI|XLNX|XRAY|YHOO,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2003-11-13,2003-12-19,100,AAPL|ADBE|ADCT|ALTR|AMAT|AMGN|AMZN|APCC|APOL|BBBY|BEAS|BIIB|BMET|BRCD|BRCM|CDWC|CEPH|CHIR|CHKP|CHRW|CIEN|CMCSA|CMVT|COST|CPWR|CSCO|CTAS|CTXS|DELL|DISH|DLTR|EBAY|ERICY|ERTS|ESRX|EXPD|FAST|FHCC|FISV|FLEX|GENZ|GILD|GNTX|HGSI|HSIC|IACI|ICOS|INTC|INTU|IVGN|JDSU|JNPR|KLAC|LAMR|LLTC|LNCR|MCHP|MEDI|MERQ|MLNM|MNST|MOLX|MSFT|MXIM|NTAP|NVDA|NVLS|NXTL|ORCL|PAYX|PCAR|PDCO|PETM|PIXR|PSFT|PTEN|QCOM|QLGC|RFMD|ROST|RYAAY|SANM|SBUX|SEBL|SIAL|SNDK|SNPS|SPLS|SPOT|SSCC|SUNW|SYMC|TEVA|TLAB|VRSN|VRTS|WFMI|XLNX|XRAY|YHOO,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2003-12-22,2004-03-18,100,AAPL|ADBE|ALTR|AMAT|AMGN|AMZN|APCC|APOL|ATYT|BBBY|BEAS|BIIB|BMET|BRCM|CDWC|CECO|CEPH|CHIR|CHKP|CHRW|CMCSA|CMVT|COST|CPWR|CSCO|CTAS|CTXS|DELL|DISH|DLTR|EBAY|ERTS|ESRX|EXPD|FAST|FHCC|FISV|FLEX|GENZ|GILD|GNTX|GRMN|HSIC|IACI|INTC|INTU|ISIL|IVGN|JDSU|JNPR|KLAC|LAMR|LLTC|LNCR|LRCX|LVLT|MCHP|MEDI|MERQ|MLNM|MOLX|MRVL|MSFT|MXIM|NTAP|NVDA|NVLS|NXTL|ORCL|PAYX|PCAR|PDCO|PETM|PIXR|PSFT|PTEN|QCOM|QLGC|RIMM|ROST|RYAAY|SANM|SBUX|SEBL|SIAL|SNDK|SNPS|SPLS|SPOT|SSCC|SUNW|SYMC|TEVA|TLAB|VRSN|VRTS|WFMI|XLNX|XRAY|YHOO,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2004-03-19,2004-06-15,100,AAPL|ADBE|ALTR|AMAT|AMGN|AMZN|APCC|APOL|ATYT|BBBY|BEAS|BIIB|BMET|BRCM|CDWC|CECO|CEPH|CHIR|CHKP|CHRW|CMCSA|CMVT|COST|CPWR|CSCO|CTAS|CTXS|DELL|DISH|DLTR|EBAY|ERTS|ESRX|EXPD|FAST|FHCC|FISV|FLEX|GENZ|GILD|GNTX|GRMN|HSIC|IACI|INTC|INTU|ISIL|IVGN|JDSU|JNPR|KLAC|LAMR|LLTC|LNCR|LRCX|LVLT|MCHP|MEDI|MERQ|MLNM|MOLX|MRVL|MSFT|MXIM|NTAP|NVDA|NVLS|NXTL|ORCL|PAYX|PCAR|PDCO|PETM|PIXR|PSFT|PTEN|QCOM|QLGC|RIMM|ROST|RYAAY|SANM|SBUX|SEBL|SIAL|SNDK|SNPS|SPLS|SPOT|SSCC|SUNW|SYMC|TEVA|TLAB|VRSN|VRTSE|WFMI|XLNX|XRAY|YHOO,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2004-06-16,2004-08-18,100,AAPL|ADBE|ALTR|AMAT|AMGN|AMZN|APCC|APOL|ATYT|BBBY|BEAS|BIIB|BMET|BRCM|CDWC|CECO|CEPH|CHIR|CHKP|CHRW|CMCSA|CMVT|COST|CPWR|CSCO|CTAS|CTXS|DELL|DISH|DLTR|EBAY|ERTS|ESRX|EXPD|FAST|FHCC|FISV|FLEX|GENZ|GILD|GNTX|GRMN|HSIC|IACI|INTC|INTU|ISIL|IVGN|JDSU|JNPR|KLAC|LAMR|LLTC|LNCR|LRCX|LVLT|MCHP|MEDI|MERQ|MLNM|MOLX|MRVL|MSFT|MXIM|NTAP|NVDA|NVLS|NXTL|ORCL|PAYX|PCAR|PDCO|PETM|PIXR|PSFT|PTEN|QCOM|QLGC|RIMM|ROST|RYAAY|SANM|SBUX|SEBL|SIAL|SNDK|SNPS|SPLS|SPOT|SSCC|SUNW|SYMC|TEVA|TLAB|VRSN|VRTS|WFMI|XLNX|XRAY|YHOO,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2004-08-19,2004-11-16,100,AAPL|ADBE|ALTR|AMAT|AMGN|AMZN|APCC|APOL|ATYT|BBBY|BEAS|BIIB|BMET|BRCM|CDWC|CECO|CEPH|CHIR|CHKP|CHRW|CMCSA|CMVT|COST|CPWR|CSCO|CTAS|CTXS|DELL|DISH|DLTR|EBAY|ERTS|ESRX|EXPD|FAST|FHCC|FISV|FLEX|GENZ|GILD|GNTX|GRMN|HSIC|IACI|INTC|INTU|ISIL|IVGN|JDSU|JNPR|KLAC|KMRT|LAMR|LLTC|LNCR|LRCX|LVLT|MCHP|MEDI|MERQ|MLNM|MOLX|MRVL|MSFT|MXIM|NTAP|NVDA|NVLS|NXTL|ORCL|PAYX|PCAR|PDCO|PETM|PIXR|PSFT|PTEN|QCOM|QLGC|RIMM|ROST|RYAAY|SANM|SBUX|SEBL|SIAL|SNDK|SNPS|SPLS|SSCC|SUNW|SYMC|TEVA|TLAB|VRSN|VRTS|WFMI|XLNX|XRAY|YHOO,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2004-11-17,2004-12-17,100,AAPL|ADBE|ALTR|AMAT|AMGN|AMZN|APCC|APOL|ATYT|BBBY|BEAS|BIIB|BMET|BRCM|CDWC|CECO|CEPH|CHIR|CHKP|CHRW|CMCSA|CMVT|COST|CPWR|CSCO|CTAS|CTXS|DELL|DISH|DLTR|EBAY|ERTS|ESRX|EXPD|FAST|FHCC|FISV|FLEX|GENZ|GILD|GNTX|GRMN|HSIC|IACI|INTC|INTU|ISIL|IVGN|JDSU|JNPR|KLAC|KMRT|LAMR|LLTC|LNCR|LRCX|LVLT|MCHP|MEDI|MERQ|MLNM|MOLXE|MRVL|MSFT|MXIM|NTAP|NVDA|NVLS|NXTL|ORCL|PAYX|PCAR|PDCO|PETM|PIXR|PSFT|PTEN|QCOM|QLGC|RIMM|ROST|RYAAY|SANM|SBUX|SEBL|SIAL|SNDK|SNPS|SPLS|SSCC|SUNW|SYMC|TEVA|TLAB|VRSN|VRTS|WFMI|XLNX|XRAY|YHOO,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2004-12-20,2004-12-28,100,AAPL|ADBE|ADSK|ALTR|AMAT|AMGN|AMZN|APCC|APOL|ATYT|BBBY|BEAS|BIIB|BMET|BRCM|CDWC|CECO|CHIR|CHKP|CHRW|CMCSA|CMVT|COST|CSCO|CTAS|CTXS|DELL|DISH|DLTR|EBAY|ERICY|ERTS|ESRX|EXPD|FAST|FISV|FLEX|GENZ|GILD|GRMN|IACI|INTC|INTU|ISIL|IVGN|JDSU|JNPR|KLAC|KMRT|LAMR|LBTYA|LLTC|LNCR|LRCX|LVLT|MCHP|MCIP|MEDI|MERQ|MLNM|MOLXE|MRVL|MSFT|MXIM|NTAP|NTLI|NVLS|NXTL|ORCL|PAYX|PCAR|PDCO|PETM|PIXR|PSFT|QCOM|QLGC|RIMM|ROST|SANM|SBUX|SEBL|SIAL|SIRI|SNDK|SNPS|SPLS|SSCC|SUNW|SYMC|TEVA|TLAB|VRSN|VRTS|WFMI|WYNN|XLNX|XMSR|XRAY|YHOO,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
