Date,Count,Top,Type,Tickers,Weights,PriceTickers
2000-06-30,30,CSCO,Recon,CSCO|INTC|MSFT|JDSU|ORCL|SUNW|VRTS|NXTL|SEBL|QCOM|WCOM|DELL|AMAT|ADCT|XLNX|AMGN|YHOO|VRSN|PMCS|IMNX|JNPR|SDLI|ALTR|CIEN|VSTR|MXIM|NTAP|GMST|GLBC|LLTC,0.100676|0.098147|0.090489|0.066454|0.061620|0.039249|0.038364|0.035934|0.035717|0.033672|0.029837|0.029313|0.023742|0.023084|0.022475|0.021027|0.020550|0.020210|0.019325|0.018856|0.018849|0.018234|0.017855|0.017553|0.017543|0.016805|0.016623|0.016458|0.015796|0.015542,ADCT|ALTR|AMAT|AMGN|CIEN|CSCO|DELL|GLBC|GMST|IMNX|INTC|JDSU|JNPR|LLTC|MSFT|MXIM|NTAP|NXTL|ORCL|PMCS|QCOM|QQQ|SUNW|VRSN|WCOM|XLNX|YHOO
2000-09-18,30,CSCO,Recon,CSCO|INTC|MSFT|ORCL|JDSU|SUNW|QCOM|VRTS|SEBL|NXTL|NTAP|JNPR|ITWO|PMCS|CIEN|WCOM|XLNX|VRSN|DELL|AMGN|GMST|AMAT|ADCT|MXIM|GLBC|SDLI|IMNX|ALTR|YHOO|AAPL,0.100292|0.086394|0.075124|0.059094|0.057164|0.052439|0.041304|0.038902|0.036218|0.030877|0.027294|0.026204|0.023779|0.023090|0.022980|0.022330|0.022027|0.021712|0.021583|0.020570|0.020311|0.019954|0.019618|0.019557|0.019392|0.018490|0.018446|0.018380|0.018374|0.018101,AAPL|ADCT|ALTR|AMAT|AMGN|CIEN|CSCO|DELL|GLBC|GMST|IMNX|INTC|ITWO|JDSU|JNPR|MSFT|MXIM|NTAP|NXTL|ORCL|PMCS|QCOM|QQQ|SUNW|VRSN|WCOM|XLNX|YHOO
2000-12-18,30,CSCO,Recon,CSCO|MSFT|INTC|QCOM|ORCL|JDSU|VRTS|SUNW|SEBL|CIEN|AMGN|IMNX|JNPR|LVLT|NXTL|NTAP|ITWO|MXIM|SDLI|VSTR|AMCC|XLNX|DELL|CMVT|LLTC|ADCT|PMCS|GMST|AMAT|CMCSA,0.104158|0.082827|0.074772|0.073434|0.071850|0.050251|0.040244|0.037759|0.037468|0.031086|0.029253|0.026232|0.025557|0.024816|0.024246|0.020775|0.020261|0.019392|0.019128|0.018404|0.018240|0.018162|0.017753|0.017493|0.016619|0.016337|0.016063|0.016022|0.015949|0.015451,ADCT|AMAT|AMCC|AMGN|CIEN|CMCSA|CMVT|CSCO|DELL|GMST|IMNX|INTC|ITWO|JDSU|JNPR|LLTC|LVLT|MSFT|MXIM|NTAP|NXTL|ORCL|PMCS|QCOM|QQQ|SUNW|XLNX
2001-03-19,30,MSFT,Recon,MSFT|INTC|CSCO|QCOM|ORCL|JDSU|AMGN|VSTR|SUNW|DELL|VRTS|XLNX|AMAT|CMCSA|LLTC|MXIM|CIEN|WCOM|NXTL|GMST|SEBL|BIIB|ALTR|CHKP|PAYX|JNPR|FLEX|SBUX|IMNX|CHIR,0.130410|0.083350|0.069884|0.069282|0.048172|0.043243|0.040587|0.037072|0.035345|0.031019|0.026810|0.025693|0.025506|0.025401|0.025131|0.024970|0.024427|0.024248|0.021157|0.021155|0.019784|0.019680|0.018136|0.016914|0.016828|0.015902|0.015474|0.015202|0.014735|0.014483,ALTR|AMAT|AMGN|BIIB|CHIR|CHKP|CIEN|CMCSA|CSCO|DELL|FLEX|GMST|IMNX|INTC|JDSU|JNPR|LLTC|MSFT|MXIM|NXTL|ORCL|PAYX|QCOM|QQQ|SBUX|SUNW|WCOM|XLNX
2001-06-18,30,MSFT,Recon,MSFT|INTC|QCOM|CSCO|ORCL|AMGN|VSTR|DELL|AMAT|BIIB|SUNW|VRTS|LLTC|MXIM|XLNX|CMCSA|WCOM|NXTL|GMST|SEBL|JDSU|ALTR|CIEN|CHIR|PAYX|EBAY|KLAC|IMNX|GENZ|BBBY,0.165941|0.087681|0.061568|0.057251|0.047852|0.043936|0.037219|0.030829|0.027891|0.027684|0.027648|0.026916|0.026584|0.024699|0.024524|0.024469|0.021671|0.021257|0.020963|0.019863|0.019235|0.019037|0.018706|0.017872|0.017793|0.016957|0.016739|0.015951|0.015752|0.015512,ALTR|AMAT|AMGN|BBBY|BIIB|CHIR|CIEN|CMCSA|CSCO|DELL|EBAY|GENZ|GMST|IMNX|INTC|JDSU|KLAC|LLTC|MSFT|MXIM|NXTL|ORCL|PAYX|QCOM|QQQ|SUNW|WCOM|XLNX
2001-09-24,30,MSFT,Recon,MSFT|INTC|QCOM|CSCO|ORCL|AMGN|DELL|MXIM|WCOM|CMCSA|CEFT|LLTC|IMNX|AMAT|SUNW|XLNX|CHIR|GENZ|PAYX|ALTR|BMET|EBAY|BIIB|BBBY|NXTL|JDSU|INTU|GMST|FLEX|CTAS,0.174047|0.090701|0.078868|0.059333|0.052602|0.045000|0.032268|0.029933|0.028561|0.027063|0.025763|0.025760|0.023388|0.022520|0.022489|0.021107|0.020042|0.019838|0.019533|0.019084|0.018621|0.017401|0.016942|0.016481|0.015877|0.015848|0.015605|0.015438|0.015021|0.014868,ALTR|AMAT|AMGN|BBBY|BIIB|BMET|CHIR|CMCSA|CSCO|CTAS|DELL|EBAY|FLEX|GENZ|GMST|IMNX|INTC|INTU|JDSU|LLTC|MSFT|MXIM|NXTL|ORCL|PAYX|QCOM|QQQ|SUNW|WCOM|XLNX
2001-12-24,30,MSFT,Recon,MSFT|INTC|CSCO|QCOM|ORCL|AMGN|DELL|MXIM|LLTC|IMNX|AMAT|CEFT|SUNW|XLNX|CMCSA|VRTS|GENZ|PSFT|WCOM|EBAY|BBBY|PAYX|FLEX|CHIR|SEBL|GMST|ALTR|IDPH|JDSU|KLAC,0.173788|0.105215|0.066080|0.064111|0.046512|0.038812|0.037097|0.033326|0.024657|0.023682|0.023628|0.023534|0.023534|0.023403|0.022231|0.021983|0.021517|0.021275|0.021041|0.018136|0.017724|0.017389|0.017358|0.016962|0.016669|0.016631|0.016141|0.016020|0.015988|0.015555,ALTR|AMAT|AMGN|BBBY|CHIR|CMCSA|CSCO|DELL|EBAY|FLEX|GENZ|GMST|IDPH|IMNX|INTC|JDSU|KLAC|LLTC|MSFT|MXIM|ORCL|PAYX|PSFT|QCOM|QQQ|SUNW|WCOM|XLNX
2002-03-18,30,MSFT,Recon,MSFT|INTC|CSCO|QCOM|ORCL|AMGN|MXIM|DELL|IMNX|CEFT|AMAT|VRTS|XLNX|LLTC|SEBL|PSFT|GENZ|COST|KLAC|EBAY|BBBY|AAPL|SUNW|CTAS|ALTR|PAYX|SBUX|CHIR|CMCSA|MEDI,0.163399|0.106742|0.063110|0.057765|0.039559|0.036444|0.036419|0.033718|0.031071|0.029354|0.027897|0.027286|0.026789|0.025845|0.025358|0.021965|0.020508|0.020107|0.019065|0.018920|0.018904|0.018686|0.017779|0.017199|0.016979|0.016720|0.016494|0.015468|0.015259|0.015190,AAPL|ALTR|AMAT|AMGN|BBBY|CHIR|CMCSA|COST|CSCO|CTAS|DELL|EBAY|GENZ|IMNX|INTC|KLAC|LLTC|MEDI|MSFT|MXIM|ORCL|PAYX|PSFT|QCOM|QQQ|SBUX|SUNW|XLNX
2002-06-24,30,MSFT,Recon,MSFT|INTC|CSCO|QCOM|DELL|AMGN|ORCL|MXIM|AMAT|IMNX|CEFT|BBBY|SBUX|LLTC|EBAY|INTU|PAYX|XLNX|KLAC|BMET|CTAS|USAI|PSFT|CHIR|COST|SEBL|FISV|ERTS|AAPL|CMCSA,0.188332|0.084591|0.068745|0.046266|0.044396|0.038068|0.036729|0.034640|0.031437|0.030878|0.029314|0.025264|0.024549|0.024038|0.023996|0.021619|0.020682|0.020246|0.019500|0.018559|0.018272|0.018003|0.017803|0.017190|0.017160|0.016164|0.016124|0.015989|0.015882|0.015566,AAPL|AMAT|AMGN|BBBY|BMET|CHIR|CMCSA|COST|CSCO|CTAS|DELL|EA|EBAY|FISV|IMNX|INTC|INTU|KLAC|LLTC|MSFT|MXIM|ORCL|PAYX|PSFT|QCOM|QQQ|SBUX|XLNX
2002-09-23,30,MSFT,Recon,MSFT|INTC|CSCO|QCOM|AMGN|DELL|ORCL|BBBY|EBAY|INTU|SBUX|MXIM|CMCSA|BMET|AMAT|CEFT|CHIR|ERTS|LLTC|PAYX|USAI|CTAS|NXTL|COST|APOL|AAPL|FISV|IDPH|GILD|XLNX,0.188307|0.074168|0.070311|0.057844|0.053608|0.045000|0.038645|0.029205|0.026691|0.026520|0.024860|0.024209|0.022526|0.021934|0.021751|0.021257|0.021056|0.020293|0.019993|0.019825|0.019674|0.019544|0.019480|0.018095|0.017253|0.017058|0.016887|0.014702|0.014687|0.014618,AAPL|AMAT|AMGN|APOL|BBBY|BMET|CHIR|CMCSA|COST|CSCO|CTAS|DELL|EA|EBAY|FISV|GILD|IDPH|INTC|INTU|LLTC|MSFT|MXIM|NXTL|ORCL|PAYX|QCOM|QQQ|SBUX|XLNX
