Date,Count,Top,Type,Tickers,Weights,PriceTickers
2000-06-30,11,CSCO,Rebal,CSCO|INTC|MSFT|JDSU|ORCL|SUNW|VRTS|NXTL|SEBL|QCOM|WCOM,0.159763|0.155750|0.143596|0.105455|0.097785|0.062285|0.060879|0.057024|0.056679|0.053434|0.047349,CSCO|INTC|JDSU|MSFT|NXTL|ORCL|QCOM|QQQ|SUNW|WCOM
2000-09-18,11,CSCO,Rebal,CSCO|INTC|MSFT|ORCL|JDSU|SUNW|QCOM|VRTS|SEBL|NXTL|NTAP,0.165744|0.142776|0.124151|0.097659|0.094470|0.086661|0.068259|0.064290|0.059855|0.051028|0.045107,CSCO|INTC|JDSU|MSFT|NTAP|NXTL|ORCL|QCOM|QQQ|SUNW
2000-12-18,12,CSCO,Recon,CSCO|MSFT|INTC|QCOM|ORCL|JDSU|VRTS|SUNW|SEBL|CIEN|AMGN|IMNX,0.157974|0.125622|0.113405|0.111376|0.108974|0.076215|0.061038|0.057269|0.056827|0.047147|0.044367|0.039785,AMGN|CIEN|CSCO|IMNX|INTC|JDSU|MSFT|ORCL|QCOM|QQQ|SUNW
2001-03-19,12,MSFT,Rebal,MSFT|INTC|CSCO|QCOM|ORCL|JDSU|AMGN|VSTR|SUNW|DELL|VRTS|XLNX,0.203490|0.130058|0.109046|0.108107|0.075167|0.067476|0.063331|0.057847|0.055151|0.048402|0.041834|0.040091,AMGN|CSCO|DELL|INTC|JDSU|MSFT|ORCL|QCOM|QQQ|SUNW|XLNX
2001-06-18,12,MSFT,Rebal,MSFT|INTC|QCOM|CSCO|ORCL|AMGN|VSTR|DELL|AMAT|SUNW|VRTS|XLNX,0.259585|0.137160|0.096312|0.089559|0.074856|0.068730|0.058223|0.048227|0.043630|0.043251|0.042105|0.038363,AMAT|AMGN|CSCO|DELL|INTC|MSFT|ORCL|QCOM|QQQ|SUNW|XLNX
2001-09-24,11,MSFT,Rebal,MSFT|INTC|QCOM|CSCO|ORCL|AMGN|DELL|MXIM|WCOM|CMCSA|AMAT,0.270226|0.140824|0.122452|0.092121|0.081670|0.075651|0.049972|0.046324|0.044180|0.041840|0.034741,AMAT|AMGN|CMCSA|CSCO|DELL|INTC|MSFT|MXIM|ORCL|QCOM|WCOM
2001-12-24,13,MSFT,Recon,MSFT|INTC|CSCO|QCOM|ORCL|AMGN|DELL|MXIM|LLTC|IMNX|AMAT|CEFT|SUNW,0.254085|0.153829|0.096611|0.093733|0.068003|0.056745|0.054238|0.048724|0.036049|0.034624|0.034546|0.034408|0.034407,AMAT|AMGN|CSCO|DELL|IMNX|INTC|LLTC|MSFT|MXIM|ORCL|QCOM|QQQ|SUNW
2002-03-18,13,MSFT,Rebal,MSFT|INTC|CSCO|QCOM|ORCL|AMGN|MXIM|DELL|IMNX|CEFT|AMAT|VRTS|LLTC,0.240784|0.157295|0.092999|0.085123|0.058294|0.053704|0.053668|0.049687|0.045787|0.043256|0.041109|0.040209|0.038086,AMAT|AMGN|CSCO|DELL|IMNX|INTC|LLTC|MSFT|MXIM|ORCL|QCOM|QQQ
2002-06-24,13,MSFT,Rebal,MSFT|INTC|CSCO|QCOM|DELL|AMGN|ORCL|MXIM|AMAT|IMNX|CEFT|BBBY|LLTC,0.275864|0.123906|0.100696|0.067770|0.065030|0.055761|0.053800|0.050740|0.046049|0.045229|0.042939|0.037006|0.035210,AMAT|AMGN|BBBY|CSCO|DELL|IMNX|INTC|LLTC|MSFT|MXIM|ORCL|QCOM|QQQ
2002-09-23,12,MSFT,Rebal,MSFT|INTC|CSCO|QCOM|AMGN|DELL|ORCL|BBBY|EBAY|INTU|SBUX|MXIM,0.283135|0.111518|0.105719|0.086973|0.080604|0.078074|0.057990|0.043623|0.039797|0.039537|0.037011|0.036019,AMGN|BBBY|CSCO|DELL|EBAY|INTC|INTU|MSFT|MXIM|ORCL|QCOM|SBUX
