Date,OfficialCount,KeptMappedCount,RemovedExtraCount,MissingOfficialCount,RemovedExtras,MissingOfficial
2000-03-20,0,100,0,0,,
2000-06-19,0,100,0,0,,
2000-06-30,0,100,0,0,,
2000-09-18,0,100,0,0,,
2000-12-18,0,100,0,0,,
2001-03-19,0,98,0,0,,
2001-06-18,0,98,0,0,,
2001-09-24,0,99,0,0,,
2001-12-24,0,99,0,0,,
2002-03-18,0,100,0,0,,
2002-06-24,0,99,0,0,,
2002-09-23,0,101,0,0,,
2002-12-23,0,99,0,0,,
2003-03-24,100,100,0,0,,
2003-06-23,100,100,0,0,,
2003-09-22,100,100,0,0,,
2003-12-22,100,100,0,0,,
2004-03-22,100,100,0,0,,
2004-06-21,100,100,0,0,,
2004-09-20,100,100,0,0,,
2004-12-20,100,100,0,0,,
2005-03-21,100,100,0,0,,
2005-06-20,100,100,0,0,,
2005-09-19,100,100,0,0,,
2005-12-19,100,100,0,0,,
2006-03-20,100,100,0,0,,
2006-06-19,100,100,0,0,,
2006-09-18,100,100,0,0,,
2006-12-18,100,100,0,0,,
2007-03-19,100,100,0,0,,
2007-06-18,100,100,0,0,,
2007-09-24,100,100,0,0,,
2007-12-24,100,100,0,0,,
2008-03-24,100,100,0,0,,
2008-06-23,100,100,0,0,,
2008-09-22,100,100,0,0,,
2008-12-22,100,100,0,0,,
2009-03-23,100,100,0,0,,
2009-06-22,100,100,0,0,,
2009-09-21,100,100,0,0,,
2009-12-21,100,100,0,0,,
2010-03-22,100,100,0,0,,
2010-06-21,100,100,0,0,,
2010-09-20,100,100,0,0,,
2010-12-20,100,100,0,0,,
2011-03-21,100,100,0,0,,
2011-06-20,100,100,0,0,,
2011-09-19,100,100,0,0,,
2011-12-19,100,100,0,0,,
2012-03-19,100,100,0,0,,
2012-06-18,100,100,0,0,,
2012-09-24,100,100,0,0,,
2012-12-24,100,100,0,0,,
2013-03-18,100,100,0,0,,
2013-06-24,100,100,0,0,,
2013-09-23,100,100,0,0,,
2013-12-23,100,100,0,0,,
2014-03-24,100,100,0,0,,
2014-06-23,101,101,0,0,,
2014-09-22,103,103,0,0,,
2014-12-22,107,107,0,0,,
2015-03-23,107,107,0,0,,
2015-06-22,107,107,0,0,,
2015-09-21,109,109,0,0,,
2015-12-21,106,106,0,0,,
2016-03-21,106,106,0,0,,
2016-06-20,105,105,0,0,,
2016-09-19,105,105,0,0,,
2016-12-19,107,107,0,0,,
2017-03-20,107,107,0,0,,
2017-06-19,107,107,0,0,,
2017-09-18,107,107,0,0,,
2017-12-18,106,106,0,0,,
2018-03-19,103,103,0,0,,
2018-06-18,103,103,0,0,,
2018-09-24,103,103,0,0,,
2018-12-24,103,103,0,0,,
2019-03-18,103,103,0,0,,
2019-06-24,103,103,0,0,,
2019-09-23,103,103,0,0,,
2019-12-23,103,103,0,0,,
2020-03-23,103,103,0,0,,
2020-06-22,103,103,0,0,,
2020-09-21,103,103,0,0,,
2020-12-21,102,102,0,0,,
2021-03-22,102,102,0,0,,
2021-06-21,102,102,0,0,,
2021-09-20,102,102,0,0,,
2021-12-20,101,101,0,0,,
2022-03-21,102,102,0,0,,
2022-06-20,102,102,0,0,,
2022-09-19,102,102,0,0,,
2022-12-19,101,101,0,0,,
2023-03-20,101,101,0,0,,
2023-06-19,101,101,0,0,,
2023-09-18,101,101,0,0,,
2023-12-18,101,101,0,0,,
2024-03-18,101,101,0,0,,
2024-06-24,101,101,0,0,,
2024-09-23,101,101,0,0,,
2024-12-23,101,101,0,0,,
2025-03-24,101,101,0,0,,
2025-06-23,101,101,0,0,,
2025-09-22,101,101,0,0,,
2025-12-22,101,101,0,0,,
2026-03-23,101,101,0,0,,
2026-05-18,101,101,0,0,,
2026-06-22,101,101,0,0,,
2026-06-29,102,102,0,0,,
2026-07-07,103,103,0,0,,
2026-08-05,102,102,0,0,,
