expert_rank,allocation_id,allocation,method,expert_score,test_cagr,max_drawdown,sharpe,rolling_3y_spy_beat_rate,rolling_3y_vt_beat_rate,testfol_validated,asset_classes
1,1,DBC 6.7% / DBMF 15.8% / GLD 31.0% / TQQQ 16.6% / VNQ 29.9%,AbsoluteBand:Yearly:0.2,0.6013634289802774,0.1996969119490215,-0.19262587974626622,1.1758479458815223,0.6079873883342092,0.9219653179190751,True,US equity; commodities; gold; managed futures; real estate
2,2,DBC 34.2% / GLD 44.6% / TIP 4.9% / TQQQ 10.9% / VNQ 2.1% / VPU 3.2%,AbsoluteBand:Yearly:0.2,0.5887938963098596,0.20733082934273117,-0.1956475791707819,1.2883220167268725,0.4351024697845507,0.5691014188124015,True,US equity; bonds; commodities; gold; real estate
3,8,DBC 25.4% / DBMF 11.6% / GLD 37.4% / SHV 4.3% / UPRO 7.1% / VTV 14.2%,AbsoluteBand:Yearly:0.05,0.5383848490155789,0.17671072257528753,-0.15385046027501592,1.3752102325510707,0.2543352601156069,0.4009458749343142,True,US equity; cash; commodities; gold; managed futures
4,5,DBC 37.9% / DBMF 33.5% / TQQQ 11.7% / VNQ 10.8% / XLP 6.1%,Calendar:Yearly,0.5264559036966598,0.18549968382816484,-0.1586903655802001,1.2644696022413409,0.27351550183920126,0.4503415659485024,True,US equity; commodities; managed futures; real estate
5,1,DBC 6.7% / DBMF 15.8% / GLD 31.0% / TQQQ 16.6% / VNQ 29.9%,Calendar:Yearly,0.5165479749292593,0.19849831209526125,-0.1960907285341722,1.1759492828529368,0.6142932212296374,0.9245927482921703,False,US equity; commodities; gold; managed futures; real estate
6,7,DBC 27.7% / DBMF 39.1% / TLT 2.8% / TQQQ 11.6% / TYD 2.8% / VNQ 16.0%,Calendar:Yearly,0.5080871979316743,0.166755069157436,-0.15665145155643379,1.2093639058346584,0.2832369942196532,0.5331056227009984,True,US equity; bonds; commodities; managed futures; real estate
7,2,DBC 34.2% / GLD 44.6% / TIP 4.9% / TQQQ 10.9% / VNQ 2.1% / VPU 3.2%,Calendar:Yearly,0.5070326897659972,0.20688786953696048,-0.19598822679757955,1.2885172313090014,0.430635838150289,0.5680504466631634,False,US equity; bonds; commodities; gold; real estate
8,4,DBMF 29.3% / GLD 29.4% / QQQ 28.2% / TQQQ 0.9% / VNQ 12.3%,EMA100:replacement:Monthly,0.4909286165168728,0.1949400420258247,-0.19209514099718206,1.1604203459477884,0.47320021019442987,0.7693116132422491,False,US equity; gold; managed futures; real estate
9,8,DBC 25.4% / DBMF 11.6% / GLD 37.4% / SHV 4.3% / UPRO 7.1% / VTV 14.2%,EMA100:pro_rata:Monthly,0.48880597798192893,0.1773236117204564,-0.12157382876101397,1.224226897258706,0.28060956384655805,0.37729900157645824,False,US equity; cash; commodities; gold; managed futures
10,8,DBC 25.4% / DBMF 11.6% / GLD 37.4% / SHV 4.3% / UPRO 7.1% / VTV 14.2%,Calendar:Yearly,0.45461522852267267,0.1741034963823802,-0.14611419600002884,1.3531449305139178,0.22674724119810824,0.3914871255911718,False,US equity; cash; commodities; gold; managed futures
