rank,allocation_id,allocation,method,family,local_test_cagr,local_test_max_drawdown,sharpe,max_recovery_days,dca_worst_vs_contributions,rolling_3y_spy_beat_rate,rolling_3y_vt_beat_rate,testfol_exact_method_validated
1,2,DBC 34.2% / GLD 44.6% / TIP 4.9% / TQQQ 10.9% / VNQ 2.1% / VPU 3.2%,AbsoluteBand:Yearly:0.2,AbsoluteBand,0.20733081952891896,-0.19564754542115803,1.2883218608789757,262.0,-0.3233535954519444,0.4351024697845507,0.5691014188124015,True
2,2,DBC 34.2% / GLD 44.6% / TIP 4.9% / TQQQ 10.9% / VNQ 2.1% / VPU 3.2%,Calendar:Yearly,Calendar,0.2068878541983008,-0.19598819835425263,1.2885170545923375,262.0,-0.32335359545194386,0.430635838150289,0.5680504466631634,False
3,1,DBC 6.7% / DBMF 15.8% / GLD 31.0% / TQQQ 16.6% / VNQ 29.9%,AbsoluteBand:Yearly:0.2,AbsoluteBand,0.19969689592117845,-0.1926259237031367,1.1758477723549516,231.0,-0.36873005371785916,0.6079873883342092,0.9219653179190751,True
4,1,DBC 6.7% / DBMF 15.8% / GLD 31.0% / TQQQ 16.6% / VNQ 29.9%,Calendar:Yearly,Calendar,0.19849829007632347,-0.19609084160601042,1.1759490729698998,241.0,-0.36873005371785905,0.6142932212296374,0.9245927482921703,False
5,4,DBMF 29.3% / GLD 29.4% / QQQ 28.2% / TQQQ 0.9% / VNQ 12.3%,EMA100:replacement:Monthly,EMA100,0.19493992857566855,-0.19209514099718172,1.160419854662575,,-0.4476336668740576,0.47320021019442987,0.7693116132422491,False
6,9,DBC 49.2% / GLD 8.6% / TQQQ 4.6% / UPRO 6.8% / VEA 2.8% / VNQ 17.0% / VTI 11.0%,AbsoluteBand:Quarterly:0.1,AbsoluteBand,0.19220446819715886,-0.2055673094020941,1.180798445096349,528.0,-0.4638286076137704,0.2863899106673673,0.4598003152916448,True
7,2,DBC 34.2% / GLD 44.6% / TIP 4.9% / TQQQ 10.9% / VNQ 2.1% / VPU 3.2%,RelativeBand:Quarterly:0.2,RelativeBand,0.19170702453393185,-0.20817198551762583,1.2154918975121873,456.0,-0.3496104615474924,0.4461376773515502,0.5733053074093537,False
8,7,DBC 27.7% / DBMF 39.1% / TLT 2.8% / TQQQ 11.6% / TYD 2.8% / VNQ 16.0%,EMA200:replacement:Quarterly,EMA200,0.19167111489773592,-0.43115284713336355,0.6928712130707453,,-0.20047549484340588,0.522070415133999,0.6568575932737782,False
9,9,DBC 49.2% / GLD 8.6% / TQQQ 4.6% / UPRO 6.8% / VEA 2.8% / VNQ 17.0% / VTI 11.0%,Calendar:Yearly,Calendar,0.1904588499381954,-0.20702525135634997,1.181468972916217,490.0,-0.45278187501051315,0.27088807146610616,0.4259064634787178,False
10,5,DBC 37.9% / DBMF 33.5% / TQQQ 11.7% / VNQ 10.8% / XLP 6.1%,EMA100:pro_rata:Monthly,EMA100,0.18913265650006084,-0.19108440872062094,1.0284464795270645,183.0,-0.4667823689784911,0.5215449290593799,0.6024697845507094,False
11,5,DBC 37.9% / DBMF 33.5% / TQQQ 11.7% / VNQ 10.8% / XLP 6.1%,Calendar:Yearly,Calendar,0.1854996661308297,-0.1586903507446783,1.2644693680795929,155.0,-0.29126434043539573,0.27351550183920126,0.4503415659485024,True
12,9,DBC 49.2% / GLD 8.6% / TQQQ 4.6% / UPRO 6.8% / VEA 2.8% / VNQ 17.0% / VTI 11.0%,RelativeBand:Yearly:0.2,RelativeBand,0.18518964094449175,-0.21566278860508825,1.1392193775998103,541.0,-0.4742232042940715,0.2632685233841303,0.4642669469259065,False
13,5,DBC 37.9% / DBMF 33.5% / TQQQ 11.7% / VNQ 10.8% / XLP 6.1%,AbsoluteBand:Yearly:0.2,AbsoluteBand,0.18503181384253642,-0.15931385747147708,1.2560146324579042,155.0,-0.2951477011295658,0.26668418286915396,0.44718864950078824,False
14,1,DBC 6.7% / DBMF 15.8% / GLD 31.0% / TQQQ 16.6% / VNQ 29.9%,RelativeBand:Yearly:0.1,RelativeBand,0.1783136516092647,-0.26174324784233105,1.0337841737974947,438.0,-0.43459509155894827,0.4908039936941671,0.8938518129269575,False
15,8,DBC 25.4% / DBMF 11.6% / GLD 37.4% / SHV 4.3% / UPRO 7.1% / VTV 14.2%,EMA100:pro_rata:Monthly,EMA100,0.17732352167861198,-0.12157394252857545,1.22422641409781,252.0,-0.053320921274859545,0.28060956384655805,0.37729900157645824,False
16,8,DBC 25.4% / DBMF 11.6% / GLD 37.4% / SHV 4.3% / UPRO 7.1% / VTV 14.2%,AbsoluteBand:Yearly:0.05,AbsoluteBand,0.17671072369912277,-0.15385047564928622,1.3752102520889777,521.0,-0.28356717294905864,0.2543352601156069,0.4009458749343142,True
17,6,DBC 3.4% / DBMF 1.5% / GLD 56.7% / IEF 9.4% / SSO 22.4% / VNQ 6.6%,EMA100:pro_rata:Yearly,EMA100,0.1748860132979504,-0.21156249149334705,1.0902988294969256,444.0,-0.28085754023394927,0.5767209668943774,0.7984760903836048,False
18,6,DBC 3.4% / DBMF 1.5% / GLD 56.7% / IEF 9.4% / SSO 22.4% / VNQ 6.6%,EMA200:pro_rata:Yearly,EMA200,0.1748860132979504,-0.21156249149334705,1.0902988294969256,444.0,-0.28085754023394927,0.5767209668943774,0.7984760903836048,False
19,8,DBC 25.4% / DBMF 11.6% / GLD 37.4% / SHV 4.3% / UPRO 7.1% / VTV 14.2%,Calendar:Yearly,Calendar,0.17410350615950843,-0.1461142083101521,1.3531449991247373,491.0,-0.26276967512614624,0.22674724119810824,0.3914871255911718,False
20,5,DBC 37.9% / DBMF 33.5% / TQQQ 11.7% / VNQ 10.8% / XLP 6.1%,RelativeBand:Yearly:0.2,RelativeBand,0.17277720988159118,-0.16992423013824764,1.1956098831482438,352.0,-0.3539833582635804,0.2165002627430373,0.4411455596426695,False
21,8,DBC 25.4% / DBMF 11.6% / GLD 37.4% / SHV 4.3% / UPRO 7.1% / VTV 14.2%,RelativeBand:Yearly:0.2,RelativeBand,0.1724910052241433,-0.15000437804137345,1.3464206208312939,457.0,-0.28775920072642003,0.24855491329479767,0.41119285338938516,False
22,3,DBC 16.1% / GLD 45.6% / TMF 13.8% / TQQQ 15.1% / VTI 9.4%,EMA100:pro_rata:Yearly,EMA100,0.17241895002803287,-0.2170022141331598,1.0220340785894593,490.0,-0.2841270905523351,0.6552811350499211,0.8276405675249606,False
23,3,DBC 16.1% / GLD 45.6% / TMF 13.8% / TQQQ 15.1% / VTI 9.4%,EMA200:pro_rata:Yearly,EMA200,0.17241895002803287,-0.2170022141331598,1.0220340785894593,490.0,-0.2841270905523351,0.6552811350499211,0.8276405675249606,False
24,8,DBC 25.4% / DBMF 11.6% / GLD 37.4% / SHV 4.3% / UPRO 7.1% / VTV 14.2%,EMA200:pro_rata:Yearly,EMA200,0.16743643718253987,-0.1521144659796042,1.2368658790473972,532.0,-0.26276967512614746,0.2635312664214398,0.4600630583289543,False
25,7,DBC 27.7% / DBMF 39.1% / TLT 2.8% / TQQQ 11.6% / TYD 2.8% / VNQ 16.0%,Calendar:Yearly,Calendar,0.16675505025357107,-0.15665144063311354,1.2093637240749306,154.0,-0.2549721643412024,0.2832369942196532,0.5331056227009984,True
