rank_by_local_test_cagr,allocation_id,allocation,method,method_family,ema_window,funding_policy,check_frequency,band_type,band,local_test_cagr,local_test_max_drawdown,local_test_sharpe,testfol_verified,testfol_test_cagr,testfol_test_max_drawdown,testfol_rebalancing_stats
1,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Yearly:0.2,Absolute,,,Yearly,Absolute,0.2,0.20733082936838398,-0.1956475541944015,1.2883220600257683,True,0.20753130013577636,-0.1959854342711268,"[{""rebalancings"": 16, ""rebalancings_per_year"": 0.9708644353479412, ""turnover_per_rebalancing"": 7.846904836235757, ""turnover_per_year"": 7.618280833061057}]"
2,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,Calendar:Yearly,Calendar,,,Yearly,,,0.20688787941800246,-0.19598820372162917,1.2885173422747136,False,,,[]
3,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,AbsoluteBand:Yearly:0.2,Absolute,,,Yearly,Absolute,0.2,0.19969691811217127,-0.19262589587146273,1.1758478560498768,True,0.19714431985669112,-0.19594140450323072,"[{""rebalancings"": 7, ""rebalancings_per_year"": 0.9644614543466374, ""turnover_per_rebalancing"": 10.827924089987457, ""turnover_per_year"": 10.443115415384293}]"
4,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,Calendar:Yearly,Calendar,,,Yearly,,,0.19849832583191906,-0.1960908049102661,1.175949250722094,False,,,[]
5,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Yearly:0.1,Absolute,,,Yearly,Absolute,0.1,0.1954139276171205,-0.20301831097766154,1.227418725736952,False,,,[]
6,4,DBMF 29.33% / GLD 29.39% / QQQ 28.16% / TQQQ 0.87% / VNQ 12.27%,EMA100:replacement:Monthly,EMA,100,replacement,Monthly,,,0.19493985710828343,-0.19209514099718183,1.160419467193712,False,,,[]
7,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Quarterly:0.05,Absolute,,,Quarterly,Absolute,0.05,0.19303243013232207,-0.1936293353081857,1.2257879325891732,False,,,[]
8,4,DBMF 29.33% / GLD 29.39% / QQQ 28.16% / TQQQ 0.87% / VNQ 12.27%,EMA100:cash_only:Monthly,EMA,100,cash_only,Monthly,,,0.19302009770944095,-0.19209514099718195,1.1510838046078893,False,,,[]
9,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,Calendar:Quarterly,Calendar,,,Quarterly,,,0.19259447323145706,-0.21748116790809957,1.2040082931779212,False,,,[]
10,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,AbsoluteBand:Quarterly:0.1,Absolute,,,Quarterly,Absolute,0.1,0.19220446065382712,-0.20556729970960308,1.1807986188016908,True,0.19434382254650728,-0.2060030651502247,"[{""rebalancings"": 68, ""rebalancings_per_year"": 4.12617385022875, ""turnover_per_rebalancing"": 3.2647700331676988, ""turnover_per_year"": 13.471008737867008}]"
11,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Quarterly:0.2,Relative,,,Quarterly,Relative,0.2,0.19170702118266836,-0.2081719428028297,1.215491942955793,False,,,[]
12,7,DBC 27.70% / DBMF 39.07% / TLT 2.82% / TQQQ 11.60% / TYD 2.78% / VNQ 16.03%,EMA200:replacement:Quarterly,EMA,200,replacement,Quarterly,,,0.19167101664314568,-0.43115270909610315,0.6928709492744882,False,,,[]
13,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Yearly:0.2,Relative,,,Yearly,Relative,0.2,0.19075313481104916,-0.20888044417015195,1.206215966844712,False,,,[]
14,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Quarterly:0.2,Absolute,,,Quarterly,Absolute,0.2,0.19046732778682052,-0.21851189388948944,1.1956279932460998,False,,,[]
15,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Quarterly:0.1,Absolute,,,Quarterly,Absolute,0.1,0.19046732778682052,-0.21851189388948944,1.1956279932460998,False,,,[]
16,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,Calendar:Yearly,Calendar,,,Yearly,,,0.19045886488350416,-0.20702528607073822,1.1814693046607594,False,,,[]
17,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,AbsoluteBand:Yearly:0.2,Absolute,,,Yearly,Absolute,0.2,0.1899387861540971,-0.2067244653539324,1.1774933183009346,False,,,[]
18,7,DBC 27.70% / DBMF 39.07% / TLT 2.82% / TQQQ 11.60% / TYD 2.78% / VNQ 16.03%,EMA200:cash_only:Quarterly,EMA,200,cash_only,Quarterly,,,0.18974703219861455,-0.43115270909610226,0.688438267631503,False,,,[]
19,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Monthly:0.2,Relative,,,Monthly,Relative,0.2,0.18949776496213144,-0.20719257748074438,1.2030497426694415,False,,,[]
20,5,DBC 37.93% / DBMF 33.46% / TQQQ 11.72% / VNQ 10.84% / XLP 6.05%,EMA100:pro_rata:Monthly,EMA,100,pro_rata,Monthly,,,0.1891326887334026,-0.19108444488878307,1.0284464045469148,False,,,[]
21,9,DBC 49.23% / GLD 8.59% / TQQQ 4.56% / UPRO 6.84% / VEA 2.78% / VNQ 17.02% / VTI 10.98%,AbsoluteBand:Quarterly:0.05,Absolute,,,Quarterly,Absolute,0.05,0.1889829317521341,-0.20269298992260254,1.1638350137013918,False,,,[]
22,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Yearly:0.1,Relative,,,Yearly,Relative,0.1,0.1889608798799991,-0.20946379265957893,1.1974971257833606,False,,,[]
23,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Yearly:0.05,Absolute,,,Yearly,Absolute,0.05,0.1888855764826105,-0.21604683953976145,1.2121166297002948,False,,,[]
24,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Yearly:0.05,Relative,,,Yearly,Relative,0.05,0.18770534869601052,-0.2082232600543661,1.1894038524662345,False,,,[]
25,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Quarterly:0.05,Relative,,,Quarterly,Relative,0.05,0.1874758242886192,-0.20822326005436675,1.1879797234023346,False,,,[]
26,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Monthly:0.05,Relative,,,Monthly,Relative,0.05,0.18743927969898766,-0.2078930560920943,1.1876101097355531,False,,,[]
27,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Monthly:0.1,Relative,,,Monthly,Relative,0.1,0.1871714997470313,-0.2112689552323126,1.1861904383979702,False,,,[]
28,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,RelativeBand:Quarterly:0.1,Relative,,,Quarterly,Relative,0.1,0.18691491399938664,-0.21061247616916245,1.1855204994884676,False,,,[]
