rank_by_local_test_cagr,allocation_id,allocation,method,method_family,ema_window,funding_policy,check_frequency,band_type,band,local_test_cagr,local_test_max_drawdown,local_test_sharpe,testfol_verified,testfol_test_cagr,testfol_test_max_drawdown,testfol_rebalancing_stats
1,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Quarterly:0.2,Absolute,,,Quarterly,Absolute,0.2,0.2184144755106603,-0.18180496591309514,1.2205755772070677,False,,,[]
2,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Monthly:0.2,Absolute,,,Monthly,Absolute,0.2,0.2184144755106603,-0.18180496591309514,1.2205755772070677,True,0.1867710670847511,-0.2085073350640816,"[{""rebalancings"": 198, ""rebalancings_per_year"": 12.014447387430772, ""turnover_per_rebalancing"": 1.8200479719027027, ""turnover_per_year"": 21.866870601025106}]"
3,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Yearly:0.2,Absolute,,,Yearly,Absolute,0.2,0.2184144755106603,-0.18180496591309514,1.2205755772070677,False,,,[]
4,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,Calendar:Yearly,Calendar,,,Yearly,,,0.20688784794745674,-0.1959881819377628,1.2885170835445106,False,,,[]
5,1,DBC 6.71% / DBMF 15.80% / GLD 31.03% / TQQQ 16.60% / VNQ 29.87%,Calendar:Yearly,Calendar,,,Yearly,,,0.1984982542675433,-0.19609085365349377,1.1759488552856743,True,0.19714431985669112,-0.19594140450323072,"[{""rebalancings"": 7, ""rebalancings_per_year"": 0.9644614543466374, ""turnover_per_rebalancing"": 10.827924089987457, ""turnover_per_year"": 10.443115415384293}]"
6,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Yearly:0.1,Absolute,,,Yearly,Absolute,0.1,0.19674924474835964,-0.2027288039955356,1.2211020210417414,False,,,[]
7,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Monthly:0.1,Absolute,,,Monthly,Absolute,0.1,0.19674924474835964,-0.2027288039955356,1.2211020210417414,False,,,[]
8,2,DBC 34.20% / GLD 44.60% / TIP 4.90% / TQQQ 10.93% / VNQ 2.14% / VPU 3.22%,AbsoluteBand:Quarterly:0.1,Absolute,,,Quarterly,Absolute,0.1,0.19674924474835964,-0.2027288039955356,1.2211020210417414,False,,,[]
9,4,DBMF 29.33% / GLD 29.39% / QQQ 28.16% / TQQQ 0.87% / VNQ 12.27%,EMA100:replacement:Monthly,EMA,100,replacement,Monthly,,,0.1949399630135944,-0.19209514099718206,1.160420056359283,False,,,[]
10,4,DBMF 29.33% / GLD 29.39% / QQQ 28.16% / TQQQ 0.87% / VNQ 12.27%,EMA100:cash_only:Monthly,EMA,100,cash_only,Monthly,,,0.19302019996537356,-0.1920951409971815,1.1510843801409547,False,,,[]
